,id,full_name,html_url,description,language,created_at,stargazers_count,open_issues_count,size,topics,license,owner_login,owner_type,archived,subscribers_count,network_count
0,922890964,ItsKandar/bluesky-shitpost,https://github.com/ItsKandar/bluesky-shitpost,Bluesky shitpost bot,Python,2025-01-27 09:21:13+00:00,0,0,0.006,[],,ItsKandar,User,False,1,0
1,1057609127,MrWwei/rag_agent,https://github.com/MrWwei/rag_agent,实践包括：RAG、agent等技术,Python,2025-09-16 01:07:44+00:00,0,0,0.07100000000000001,[],,MrWwei,User,False,0,0
2,1033326262,MaxBustamanteUrrea/Prueba-tecnica,https://github.com/MaxBustamanteUrrea/Prueba-tecnica,SURA,Python,2025-08-06 16:31:42+00:00,0,0,0.007,[],,MaxBustamanteUrrea,User,False,0,0
3,741914371,PasiniSamuele/LLM_research_assistant,https://github.com/PasiniSamuele/LLM_research_assistant,LLM could help during research activities thanks to the usage of RAG and other techniques,Python,2024-01-11 11:24:05+00:00,0,0,142.822,[],,PasiniSamuele,User,False,1,0
4,1023834975,SurajPatel04/manimVideoGenerate,https://github.com/SurajPatel04/manimVideoGenerate,An AI-powered pipeline that automatically generates Manim video animations from simple text descriptions.,Python,2025-07-21 19:10:50+00:00,6,0,187.897,[],,SurajPatel04,User,False,1,0
5,957675453,Avangarde2225/bookstore_agent,https://github.com/Avangarde2225/bookstore_agent,,Python,2025-03-30 23:19:07+00:00,0,0,194.636,[],,Avangarde2225,User,False,1,0
6,673708882,Exiledz5155/gpt-chatbot,https://github.com/Exiledz5155/gpt-chatbot,Experimenting with GPT API,Python,2023-08-02 08:44:03+00:00,0,0,0.006,[],,Exiledz5155,User,False,1,0
7,892242256,dileepNaiduOne/MakeMeSmart,https://github.com/dileepNaiduOne/MakeMeSmart,"A comprehensive e-learning platform. Key features include user authentication (MySQL database), interactive quizzes powered by LLM (Gemini 1.5 Pro), progress tracking, and dynamic data visualization using Plotly. Designed a visually appealing, user-friendly interface.",Python,2024-11-21 18:51:20+00:00,2,0,1.03,"['canva', 'css', 'genai', 'git', 'html5', 'llm', 'mysql', 'plotly', 'python', 'streamlit', 'streamlit-webapp']",apache-2.0,dileepNaiduOne,User,False,1,0
8,932898607,GauravBindra/Step-back-promp_generator,https://github.com/GauravBindra/Step-back-promp_generator,,Python,2025-02-14 18:16:02+00:00,0,0,6.805,[],,GauravBindra,User,False,1,0
9,976805757,noide-ai/noide,https://github.com/noide-ai/noide,,Python,2025-05-02 19:32:24+00:00,0,1,0.065,[],mit,noide-ai,Organization,False,0,0
